name,codesystem,code,ontologyTermURI,city,country,latitude,longitude,organisationType,hasSchema,schemaName,image
"Rigshospitalet, Coperhagen University Hospital ",ROR,03mchdq19,https://ror.org/03mchdq19,Copenhagen,Denmark,55.67594,12.56553,affiliated partner,,DK2,rigshospitalet-copenhagen-university-hospital
Sahlgrenska University Hospital ,ROR,04vgqjj36,https://ror.org/04vgqjj36,Gothenburg,Sweden,57.70716,11.96679,full member,,SE2,sahlgrenska-university-hospital
San Bortolo Hospital,ROR,05wd86d64,https://ror.org/05wd86d64,Vicenza,Italy,45.555954,11.546532,full member,,IT5,san-bortolo-hospital
San Gerardo Hospital,ROR,01xf83457,https://ror.org/01xf83457,Monza,Italy,45.603031,9.258782,full member,TRUE,IT6,san-gerardo-hospital
Smile House - San Paolo Hospital ,ROR,0026m8b31,https://ror.org/0026m8b31,Milan,Italy,45.434808,9.159816,full member,,IT7,smile-house-san-paolo-hospital
"Szent-Györgyi Albert Medical Center, University of Szeged",ROR,01pnej532,https://ror.org/01pnej532,Szeged,Hungary,46.253,20.14824,full member,TRUE,HU1,szent-medical-center
UMC Utrecht,ROR,0575yy874,https://ror.org/0575yy874,Utrecht,Netherlands,52.09083,5.12222,full member,TRUE,NL4,umc-utrecht
Universitätsklinikum Tübingen,ROR,00pjgxh97,https://ror.org/00pjgxh97,T�bingen,Germany,48.52266,9.05222,full member,,DE2,university-hospital-tubingen
University Hospital Motol ,ROR,0125yxn03,https://ror.org/0125yxn03,Prague,Czechia,50.072869,14.340355,full member,TRUE,CZ1,university-hospital-motol
University Hospital Salzburg,ROR,05gs8cd61,https://ror.org/05gs8cd61,Salzburg,Austria,47.79941,13.04399,full member,,AT1,university-hospital-salzburg
University Medical Centre Ljubljana,ROR,01nr6fy72,https://ror.org/01nr6fy72,Ljubljana,Slovenia,46.053689,14.521233,affiliated partner,,SI1,university-medical-centre-ljubljana
University of Pecs,ROR,037b5pv06,https://ror.org/037b5pv06,P�cs,Hungary,46.0725,18.23083,full member,,HU2,university-of-pecs
Uppsala University Hospital ,ROR,01apvbh93,https://ror.org/01apvbh93,Uppsala,Sweden,59.847222,17.640278,full member,,SE3,uppsala-university-hospital
UZ Gent,ROR,00xmkp704,https://ror.org/00xmkp704,Gent,Belgium,51.025171,3.725213,full member,,BE2,uz-gent
UZ Leuven,ROR,0424bsv16,https://ror.org/0424bsv16,Leuven,Belgium,50.87959,4.70093,full member,TRUE,BE3,uz-leuven
Vall d'Hebron ,ROR,03ba28x55,https://ror.org/03ba28x55,Barcelona,Spain,41.428083,2.142278,full member,,ES3,vall-dhebron
"Vilnius University Hospital Santaros Klinikos, Ear, Nose and Throat Center",ROR,0590pq693,https://ror.org/0590pq693,Vilnius,Lithuania,54.75207,25.277787,full member,,LT1,vilnius-university-hospital
